NO,쿠팡 파트너스 링크,상황 태그,상품명,상품 한줄설명,상품 이미지 URL,이미지 상태
1,https://link.coupang.com/a/g9VxZ61iiy,,,,,,
2,https://link.coupang.com/a/g9VyDN9QPc,,,,,,
3,https://link.coupang.com/a/g9VzfItS4y,,,,,,
4,https://link.coupang.com/a/g9VAzjIfBc,,,,,,
5,https://link.coupang.com/a/g9VBsWwxY4,,,,,,
6,https://link.coupang.com/a/g9VB2kZEqG,,,,,,
7,https://link.coupang.com/a/g9VCw8tgqG,,,,,,
8,https://link.coupang.com/a/g9VCZ6YiOb,,,,,,
9,https://link.coupang.com/a/g9VDAt2iKO,,,,,,
10,https://link.coupang.com/a/g9VEld2r0e,,,,,,
11,https://link.coupang.com/a/g9VEUc68VE,,,,,,
12,https://link.coupang.com/a/g9VFDFkpwW,,,,,,
13,https://link.coupang.com/a/g9VGkf0IA8,,,,,,
14,https://link.coupang.com/a/g9VGXNEoTc,,,,,,
15,https://link.coupang.com/a/g9VHNdJFw4,,,,,,
16,https://link.coupang.com/a/g9VIYamuY0,,,,,,
17,https://link.coupang.com/a/g9VJAacNNc,,,,,,
18,https://link.coupang.com/a/g9VKfNg7G0,,,,,,
19,https://link.coupang.com/a/g9VKPghAmO,,,,,,
20,https://link.coupang.com/a/g9VLmowCHI,,,,,,
21,https://link.coupang.com/a/g9VLWsILgP,,,,,,
22,https://link.coupang.com/a/g9VMy7h2tx,,,,,,
23,https://link.coupang.com/a/g9VNqf7RgO,,,,,,
24,https://link.coupang.com/a/g9VNRSajYG,,,,,,
25,https://link.coupang.com/a/g9VOrMiBTV,,,,,,
26,https://link.coupang.com/a/g9VO1YQMtE,,,,,,
27,https://link.coupang.com/a/g9VPC90ZWK,,,,,,
28,https://link.coupang.com/a/g9VQa64sp2,,,,,,
29,https://link.coupang.com/a/g9VQX0uwvs,,,,,,
30,https://link.coupang.com/a/g9VRwVyMOi,,,,,,
31,https://link.coupang.com/a/g9VR92V6NE,,,,,,
32,https://link.coupang.com/a/g9VTdZY7PM,,,,,,
33,https://link.coupang.com/a/g9VTGjB9kO,,,,,,
34,https://link.coupang.com/a/g9VUasneDY,,,,,,
35,https://link.coupang.com/a/g9VUBVkK2C,,,,,,
36,https://link.coupang.com/a/g9VU8r6Kc0,,,,,,
37,https://link.coupang.com/a/g9VVPqcuJM,,,,,,
38,https://link.coupang.com/a/g9VWEqKNdk,,,,,,
39,https://link.coupang.com/a/g9VXhENHPg,,,,,,
40,https://link.coupang.com/a/g9VYSaa2to,,,,,,
41,https://link.coupang.com/a/g9VZjUbaeq,,,,,,
42,https://link.coupang.com/a/g9VZNwhH1E,,,,,,
43,https://link.coupang.com/a/g9V0gAS6Ds,,,,,,
44,https://link.coupang.com/a/g9V0KzY9XU,,,,,,
45,https://link.coupang.com/a/g9V1vcJ4CW,,,,,,
46,https://link.coupang.com/a/g9V12MePiS,,,,,,
47,https://link.coupang.com/a/g9V2LiyAVw,,,,,,
48,https://link.coupang.com/a/g9V3gZw1L2,,,,,,
49,https://link.coupang.com/a/g9V4jxzKwu,,,,,,
50,https://link.coupang.com/a/g9V5dbN2yG,,,,,,
51,https://link.coupang.com/a/g9V5RgdHKC,,,,,,
52,https://link.coupang.com/a/g9V6BV6cQm,,,,,,
53,https://link.coupang.com/a/g9V7rnKJtk,,,,,,
54,https://link.coupang.com/a/g9V8ahmjrU,,,,,,
55,https://link.coupang.com/a/g9V8KJgRQO,,,,,,
56,https://link.coupang.com/a/g9V9ugSvVk,,,,,,
57,https://link.coupang.com/a/g9V9YApcMC,,,,,,
58,https://link.coupang.com/a/g9WaszMRe8,,,,,,
59,https://link.coupang.com/a/g9Wa0dxAR2,,,,,,
60,https://link.coupang.com/a/g9WbGfKx6O,,,,,,
61,https://link.coupang.com/a/g9WcxoyxXg,,,,,,
62,https://link.coupang.com/a/g9Wc2BZZAq,,,,,,
63,https://link.coupang.com/a/g9WdV4azvM,,,,,,
64,https://link.coupang.com/a/g9WeAyrkDA,,,,,,
65,https://link.coupang.com/a/g9WfmCiUTI,,,,,,
66,https://link.coupang.com/a/g9WgewxiH6,,,,,,
67,https://link.coupang.com/a/g9WgJRvz3I,,,,,,
68,https://link.coupang.com/a/g9WhdmwO9Q,,,,,,
69,https://link.coupang.com/a/g9WhHk2wPQ,,,,,,
70,https://link.coupang.com/a/g9Wic5pryu,,,,,,
71,https://link.coupang.com/a/g9WiJ20LqS,,,,,,
72,https://link.coupang.com/a/g9Wjxr4b24,,,,,,
73,https://link.coupang.com/a/g9WkglGFq0,,,,,,
74,https://link.coupang.com/a/g9WkQ7Spjg,,,,,,
75,https://link.coupang.com/a/g9WlJwaFOu,,,,,,
76,https://link.coupang.com/a/g9WmBdcs9Y,,,,,,
